N,Overlap,Deg_Rate,Noise_Std,Memory_Class,r_star,fidelity_at_r,fidelity_prev,slope,collapsed,braak_at_collapse,plateau_height,post_floor,transition_width,auc
500,high,slow,0.5,weak_remote,0.7,0.3736203285640416,0.9414519995450974,-22.71326683924223,True,Stage_3,0.9872825328649135,-0.0011699866148332757,0.044777423070213374,0.6894642796023518
500,low,fast,0.1,strong_recent,1.0,1.932617295662338e-16,0.9999938378334046,-9.999938378334043,True,Stage_3,1.000000166098277,0.4999969189167024,0.08000049297636536,0.9499994774103165
500,low,fast,0.1,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,low,fast,0.1,weak_dense,0.9,0.02623410259746015,0.9999687832196553,-9.73734680622195,True,Stage_3,0.9999998089075088,0.01311705129873008,0.08215790357685704,0.8526201719632374
500,low,fast,0.1,weak_remote,0.7,0.3736203285640416,0.9999998189608256,-6.263794903967839,True,Stage_3,0.9999757704734803,-0.0028999413611988227,0.16781940794972894,0.691478440911804
500,low,fast,0.2,strong_recent,1.0,1.932617295662338e-16,0.999993837594986,-9.999938375949856,True,Stage_3,1.000000166098277,0.4999969187974931,0.0800004929954391,0.9499994773864747
500,low,fast,0.2,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,low,fast,0.2,weak_dense,0.9,0.02623410259746015,0.9999687832196553,-9.73734680622195,True,Stage_3,0.9999998089075088,0.01311705129873008,0.08215790357685704,0.8526201719632374
500,low,fast,0.2,weak_remote,0.7,0.3736203285640416,0.9999998189608256,-6.263794903967839,True,Stage_3,0.9999757704734803,-0.0028999417560795944,0.16781940794972894,0.6914784408328278
500,low,fast,0.3,strong_recent,1.0,1.932617295662338e-16,0.9999938371181488,-9.999938371181486,True,Stage_3,1.000000166098277,0.4999969185590745,0.08000049303358658,0.949999477338791
500,low,fast,0.3,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
500,low,fast,0.3,weak_dense,0.9,0.02623410259746015,0.9999687832196553,-9.73734680622195,True,Stage_3,0.9999998089075088,0.01311705129873008,0.08215790357685704,0.8526201719632374
500,low,fast,0.3,weak_remote,0.7,0.3736203285640416,0.9986932338724533,-6.250729053084117,True,Stage_3,0.9991121555633016,-0.0028999418721844753,0.16799506622035176,0.6908296133546625
500,low,fast,0.4,strong_recent,1.0,1.932617295662338e-16,0.9999938346147538,-9.999938346147536,True,Stage_3,1.000000166098277,0.499996917307377,0.0800004932338606,0.9499994770884514
500,low,fast,0.4,strong_salient,1.0,2.2086916835734101e-16,1.0000003592967988,-10.000003592967985,True,Stage_3,1.0000001288519964,0.5000001796483995,0.07999997125626646,0.9500001803874971
